City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kaitangata,-46.2817,169.8464,57.99,65.0,3.0,8.01,NZ,1613080237.0
albany,42.6001,-73.9662,27.0,41.0,63.0,5.01,US,1613080042.0
rikitea,-23.1203,-134.9692,79.09,71.0,82.0,8.52,PF,1613080232.0
podor,16.6527,-14.9587,82.4,28.0,0.0,2.3,MR,1613080812.0
hobart,-42.8794,147.3294,64.99,48.0,20.0,17.27,AU,1613080683.0
hilo,19.7297,-155.09,75.2,69.0,90.0,6.35,US,1613080816.0
punta arenas,-53.15,-70.9167,59.0,44.0,20.0,26.46,CL,1613080818.0
asau,46.4333,26.4,24.01,70.0,100.0,1.43,RO,1613080819.0
severo-kurilsk,50.6789,156.125,29.25,92.0,100.0,8.61,RU,1613080286.0
henties bay,-22.116,14.2845,70.0,86.0,92.0,1.16,NA,1613080821.0
bluff,-46.6,168.3333,54.82,70.0,44.0,9.73,NZ,1613080245.0
haines junction,60.7522,-137.5108,-13.0,44.0,9.0,2.3,CA,1613080252.0
tiksi,71.6872,128.8694,-8.68,88.0,59.0,8.21,RU,1613080244.0
mataura,-46.1927,168.8643,58.08,56.0,1.0,3.04,NZ,1613080230.0
clyde river,70.4692,-68.5914,6.8,92.0,29.0,37.98,CA,1613080261.0
tuktoyaktuk,69.4541,-133.0374,-7.6,84.0,40.0,17.27,CA,1613080251.0
kishi,9.0833,3.85,79.05,44.0,13.0,4.5,NG,1613080822.0
olmos,-5.9847,-79.7453,86.32,47.0,100.0,12.12,PE,1613080823.0
busselton,-33.65,115.3333,48.0,96.0,0.0,8.72,AU,1613080241.0
tartagal,-22.5164,-63.8013,72.12,90.0,31.0,3.94,AR,1613080668.0
hermanus,-34.4187,19.2345,72.0,87.0,14.0,1.01,ZA,1613080235.0
kapaa,22.0752,-159.319,75.99,57.0,20.0,10.36,US,1613080179.0
chabahar,25.2919,60.643,70.34,46.0,0.0,5.64,IR,1613080824.0
ushuaia,-54.8,-68.3,51.8,82.0,75.0,8.05,AR,1613080126.0
paamiut,61.994,-49.6678,25.92,86.0,60.0,8.23,GL,1613080825.0
hami,42.8,93.45,30.67,78.0,70.0,6.73,CN,1613080825.0
labuhan,-6.8844,112.2051,76.73,87.0,99.0,7.65,ID,1613080287.0
vetluzhskiy,58.3902,45.4654,1.38,94.0,100.0,5.06,RU,1613080826.0
new norfolk,-42.7826,147.0587,64.0,69.0,14.0,1.01,AU,1613080270.0
negombo,7.2083,79.8358,71.6,78.0,0.0,6.91,LK,1613080246.0
nikolskoye,59.7035,30.7861,6.01,85.0,90.0,11.18,RU,1613080264.0
sitka,57.0531,-135.33,30.2,24.0,1.0,9.22,US,1613080253.0
ayan,56.45,138.1667,16.11,96.0,97.0,5.57,RU,1613080827.0
victor harbor,-35.5667,138.6167,62.01,80.0,70.0,8.86,AU,1613080244.0
upernavik,72.7868,-56.1549,2.07,86.0,80.0,7.96,GL,1613080246.0
otavi,-19.65,17.3333,65.23,93.0,100.0,4.21,NA,1613080828.0
kozelsk,54.0375,35.7716,8.6,85.0,100.0,8.95,RU,1613080828.0
carnarvon,-24.8667,113.6333,73.4,83.0,95.0,17.27,AU,1613080257.0
